exp_count,click_count,conv_count,recent_clicks,avg_click_interval,last_click_gap,click_freq_last_hour,adslot_enc,media_gaming,media_newsapp,media_social,media_video,device_mobile,device_pc,os_android,os_ios,os_mac,os_win,geo_CA,geo_FL,geo_NY,geo_TX,hour_10,user_emb_1,user_emb_2,user_emb_3,converted
1,0,0,0,-1.0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.146977109319708,-0.577744603326544,0.7758220503189189,0
1,0,0,0,-1.0,-1.0,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.6358817806066763,1.1452348407880857,-0.5072283497097094,0
2,0,0,0,-1.0,-1.0,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.6358817806066763,1.1452348407880857,-0.5072283497097094,0
1,0,0,0,-1.0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.7093213151900608,-0.2871805255041385,1.5729126940000528,0
2,0,0,0,-1.0,-1.0,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7093213151900608,-0.2871805255041385,1.5729126940000528,0
1,0,0,0,-1.0,-1.0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9708173394737356,0.6817496523457983,-0.5384193279286151,0
2,0,0,0,-1.0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9708173394737356,0.6817496523457983,-0.5384193279286151,0
1,0,0,0,-1.0,-1.0,0,2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.7814624623492741,-0.2436549695005094,1.6406365383992685,0
1,0,0,0,-1.0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.6210968092033236,1.0875944705814582,-0.2519284612223,0
1,0,0,0,-1.0,-1.0,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1724558095480221,0.6088133545415383,-0.9968907496136712,0
