request_id,user_id,exp_count,click_count,conv_count,recent_clicks,avg_click_interval,last_click_gap,click_freq_last_hour
req000274,u1000,1,0,0,0,-1.0,-1.0,0
req001591,u1001,1,0,0,0,-1.0,-1.0,0
req005093,u1001,2,0,0,0,-1.0,-1.0,0
req000517,u1002,1,0,0,0,-1.0,-1.0,0
req001530,u1002,2,0,0,0,-1.0,-1.0,0
req001863,u1007,1,0,0,0,-1.0,-1.0,0
req008591,u1007,2,0,0,0,-1.0,-1.0,0
req002955,u1008,1,0,0,0,-1.0,-1.0,0
req003369,u1011,1,0,0,0,-1.0,-1.0,0
req004163,u1012,1,0,0,0,-1.0,-1.0,0
req005949,u1012,2,0,0,0,-1.0,-1.0,0
req009138,u1012,3,1,0,0,-1.0,-1.0,0
req009354,u1014,1,0,0,0,-1.0,-1.0,0
req008065,u1015,1,0,0,0,-1.0,-1.0,0
req003652,u1016,1,0,0,0,-1.0,-1.0,0
req001625,u1020,1,0,0,0,-1.0,-1.0,0
req005583,u1020,2,1,0,0,-1.0,-1.0,0
req002638,u1023,1,0,0,0,-1.0,-1.0,0
req006831,u1023,2,0,0,0,-1.0,-1.0,0
req009756,u1023,3,0,0,0,-1.0,-1.0,0
req003094,u1025,1,0,0,0,-1.0,-1.0,0
req006315,u1027,1,0,0,0,-1.0,-1.0,0
req009761,u1028,1,1,0,0,-1.0,-1.0,0
req001541,u1029,1,1,0,0,-1.0,-1.0,0
req003459,u1030,1,0,0,0,-1.0,-1.0,0
req000080,u1031,1,0,0,0,-1.0,-1.0,0
req006908,u1031,2,0,0,0,-1.0,-1.0,0
req005269,u1032,1,0,0,0,-1.0,-1.0,0
req007023,u1034,1,0,0,0,-1.0,-1.0,0
req006668,u1035,1,0,0,0,-1.0,-1.0,0
req008491,u1035,2,0,0,0,-1.0,-1.0,0
req006794,u1040,1,0,0,0,-1.0,-1.0,0
req002246,u1042,1,0,0,0,-1.0,-1.0,0
req007621,u1043,1,0,0,0,-1.0,-1.0,0
req009957,u1044,1,1,0,0,-1.0,-1.0,0
req000656,u1048,1,0,0,0,-1.0,-1.0,0
req004241,u1050,1,0,0,0,-1.0,-1.0,0
req007996,u1052,1,0,0,0,-1.0,-1.0,0
