request_id,click_timestamp
req001921,2025-08-20 10:32:10
req008155,2025-08-20 12:16:41
req008630,2025-08-20 12:23:58
req000055,2025-08-20 10:01:46
req008101,2025-08-20 12:15:15
req000135,2025-08-20 10:02:23
req009019,2025-08-20 12:30:31
req003509,2025-08-20 10:58:55
req003173,2025-08-20 10:53:07
req001493,2025-08-20 10:25:11
req006093,2025-08-20 11:42:01
req005830,2025-08-20 11:37:30
req000178,2025-08-20 10:03:51
req001540,2025-08-20 10:26:36
req002789,2025-08-20 10:46:58
req000912,2025-08-20 10:15:29
req007215,2025-08-20 12:00:57
req003187,2025-08-20 10:54:05
req005966,2025-08-20 11:40:17
req008791,2025-08-20 12:26:43
req008075,2025-08-20 12:15:05
req008508,2025-08-20 12:22:26
req005711,2025-08-20 11:35:41
req001377,2025-08-20 10:23:53
req005718,2025-08-20 11:35:37
req002932,2025-08-20 10:49:17
req004078,2025-08-20 11:08:31
req009084,2025-08-20 12:31:53
req002529,2025-08-20 10:42:51
req009458,2025-08-20 12:38:20
req001653,2025-08-20 10:28:28
req008136,2025-08-20 12:16:12
req005172,2025-08-20 11:26:55
req004008,2025-08-20 11:06:52
req009382,2025-08-20 12:36:37
req002012,2025-08-20 10:33:52
req006872,2025-08-20 11:55:00
req000319,2025-08-20 10:05:51
req004401,2025-08-20 11:14:06
req008478,2025-08-20 12:21:49
req001550,2025-08-20 10:26:12
req003078,2025-08-20 10:52:02
req003230,2025-08-20 10:54:03
req008892,2025-08-20 12:28:26
req002054,2025-08-20 10:34:27
req009732,2025-08-20 12:42:45
req006965,2025-08-20 11:56:57
req003299,2025-08-20 10:55:09
req000760,2025-08-20 10:12:48
req006883,2025-08-20 11:55:14
req004242,2025-08-20 11:11:05
req006367,2025-08-20 11:46:42
req008375,2025-08-20 12:19:50
req008839,2025-08-20 12:27:27
req000577,2025-08-20 10:10:10
req005826,2025-08-20 11:37:42
req000343,2025-08-20 10:05:56
req003141,2025-08-20 10:53:03
req003845,2025-08-20 11:04:35
req002702,2025-08-20 10:45:17
req009914,2025-08-20 12:45:19
req001078,2025-08-20 10:18:31
req008510,2025-08-20 12:22:34
req006514,2025-08-20 11:48:42
req006867,2025-08-20 11:55:07
req000710,2025-08-20 10:12:07
req008401,2025-08-20 12:20:55
req008307,2025-08-20 12:18:56
req006290,2025-08-20 11:45:43
req001756,2025-08-20 10:29:27
req006852,2025-08-20 11:54:46
req005620,2025-08-20 11:33:46
req002502,2025-08-20 10:42:13
req000672,2025-08-20 10:11:29
req000623,2025-08-20 10:10:37
req007265,2025-08-20 12:01:37
req008549,2025-08-20 12:23:12
req002400,2025-08-20 10:40:57
req009094,2025-08-20 12:31:49
req006364,2025-08-20 11:46:50
req002598,2025-08-20 10:43:30
req006386,2025-08-20 11:47:05
req008111,2025-08-20 12:15:33
req003801,2025-08-20 11:03:31
req006480,2025-08-20 11:48:20
req000332,2025-08-20 10:06:23
req009835,2025-08-20 12:44:49
req009842,2025-08-20 12:44:28
req007113,2025-08-20 11:58:48
req002394,2025-08-20 10:40:04
req003122,2025-08-20 10:52:30
req002726,2025-08-20 10:45:43
req001489,2025-08-20 10:25:23
req003300,2025-08-20 10:55:28
req001336,2025-08-20 10:22:30
req006114,2025-08-20 11:42:08
req002313,2025-08-20 10:38:43
req005951,2025-08-20 11:39:57
req001062,2025-08-20 10:17:48
req008274,2025-08-20 12:18:12
req009070,2025-08-20 12:31:16
req006335,2025-08-20 11:46:31
req000998,2025-08-20 10:17:22
req005104,2025-08-20 11:25:24
req002542,2025-08-20 10:43:14
req004211,2025-08-20 11:10:58
req001071,2025-08-20 10:18:01
req008555,2025-08-20 12:22:49
req001498,2025-08-20 10:25:47
req001983,2025-08-20 10:33:26
req004828,2025-08-20 11:20:32
req004808,2025-08-20 11:20:43
req002796,2025-08-20 10:47:17
req009176,2025-08-20 12:33:53
req006662,2025-08-20 11:51:26
req009006,2025-08-20 12:30:40
req008993,2025-08-20 12:30:13
req000537,2025-08-20 10:09:25
req001937,2025-08-20 10:33:01
req000324,2025-08-20 10:06:00
req002057,2025-08-20 10:34:32
req004377,2025-08-20 11:13:52
req005852,2025-08-20 11:38:03
req004718,2025-08-20 11:19:30
req008403,2025-08-20 12:20:32
req005030,2025-08-20 11:24:29
req009943,2025-08-20 12:46:41
req000108,2025-08-20 10:01:59
req002116,2025-08-20 10:35:51
req000367,2025-08-20 10:07:01
req005918,2025-08-20 11:39:32
req004362,2025-08-20 11:13:11
req009393,2025-08-20 12:36:41
req003917,2025-08-20 11:06:03
req005126,2025-08-20 11:26:07
req006382,2025-08-20 11:46:38
req002934,2025-08-20 10:49:16
req009138,2025-08-20 12:32:27
req003961,2025-08-20 11:06:59
req003655,2025-08-20 11:01:43
req000671,2025-08-20 10:11:20
req004264,2025-08-20 11:11:23
req000558,2025-08-20 10:10:15
req008896,2025-08-20 12:28:48
req001669,2025-08-20 10:28:10
req006140,2025-08-20 11:42:55
req008824,2025-08-20 12:27:36
req005423,2025-08-20 11:31:09
req009362,2025-08-20 12:36:57
req004109,2025-08-20 11:08:49
req008025,2025-08-20 12:14:30
req000621,2025-08-20 10:11:12
req003584,2025-08-20 10:59:52
req006603,2025-08-20 11:50:38
req009317,2025-08-20 12:35:49
req005823,2025-08-20 11:37:35
req005084,2025-08-20 11:25:29
req003329,2025-08-20 10:55:35
req002957,2025-08-20 10:50:11
req007544,2025-08-20 12:05:51
req002878,2025-08-20 10:48:45
req008169,2025-08-20 12:16:37
req004903,2025-08-20 11:22:08
req004032,2025-08-20 11:07:57
req007767,2025-08-20 12:09:41
req002710,2025-08-20 10:45:21
req005912,2025-08-20 11:39:02
req007811,2025-08-20 12:10:58
req002078,2025-08-20 10:35:27
req009931,2025-08-20 12:46:27
req002661,2025-08-20 10:44:46
req000243,2025-08-20 10:04:09
req003656,2025-08-20 11:01:26
req004400,2025-08-20 11:13:34
req007383,2025-08-20 12:03:33
req002223,2025-08-20 10:37:13
req001414,2025-08-20 10:24:04
req004454,2025-08-20 11:15:04
req004567,2025-08-20 11:16:21
req004632,2025-08-20 11:17:40
req007598,2025-08-20 12:07:20
req003337,2025-08-20 10:56:31
req002723,2025-08-20 10:45:42
req005040,2025-08-20 11:24:24
req001053,2025-08-20 10:18:02
req002238,2025-08-20 10:37:48
req005446,2025-08-20 11:31:40
req008470,2025-08-20 12:21:58
req005727,2025-08-20 11:36:23
req006527,2025-08-20 11:49:07
req000702,2025-08-20 10:12:16
req003330,2025-08-20 10:55:47
req003144,2025-08-20 10:52:50
req009694,2025-08-20 12:41:39
req002499,2025-08-20 10:42:08
req000765,2025-08-20 10:13:14
req005765,2025-08-20 11:36:30
req009924,2025-08-20 12:46:09
req003491,2025-08-20 10:58:42
req006198,2025-08-20 11:43:27
req004446,2025-08-20 11:14:57
req004177,2025-08-20 11:10:19
req003002,2025-08-20 10:50:24
req002046,2025-08-20 10:34:30
req008322,2025-08-20 12:19:27
req007429,2025-08-20 12:04:12
req005922,2025-08-20 11:39:16
req002378,2025-08-20 10:40:08
req009306,2025-08-20 12:35:24
req003165,2025-08-20 10:53:32
req003745,2025-08-20 11:02:59
req005312,2025-08-20 11:28:44
req001499,2025-08-20 10:25:52
req002415,2025-08-20 10:40:35
req008302,2025-08-20 12:18:44
req009086,2025-08-20 12:32:01
req004735,2025-08-20 11:19:08
req003807,2025-08-20 11:04:10
req005578,2025-08-20 11:33:53
req001051,2025-08-20 10:17:39
req001516,2025-08-20 10:25:32
req006900,2025-08-20 11:55:56
req000302,2025-08-20 10:05:32
req000770,2025-08-20 10:12:55
req004227,2025-08-20 11:10:31
req007850,2025-08-20 12:11:01
req007433,2025-08-20 12:04:06
req007309,2025-08-20 12:02:20
req001690,2025-08-20 10:28:18
req003314,2025-08-20 10:56:07
req005022,2025-08-20 11:24:40
req002059,2025-08-20 10:34:24
req008786,2025-08-20 12:27:23
req001201,2025-08-20 10:20:45
req006365,2025-08-20 11:46:56
req000255,2025-08-20 10:05:10
req009763,2025-08-20 12:43:39
req004014,2025-08-20 11:07:14
req001514,2025-08-20 10:26:05
req009608,2025-08-20 12:40:44
req008133,2025-08-20 12:16:01
req009555,2025-08-20 12:39:23
req002591,2025-08-20 10:43:42
req001019,2025-08-20 10:17:53
req005677,2025-08-20 11:34:58
req000771,2025-08-20 10:13:17
req001050,2025-08-20 10:18:25
req003335,2025-08-20 10:56:13
req001440,2025-08-20 10:24:21
req000069,2025-08-20 10:01:23
req000232,2025-08-20 10:04:38
req000720,2025-08-20 10:12:46
req009550,2025-08-20 12:39:23
req003539,2025-08-20 10:59:12
req009574,2025-08-20 12:40:13
req008840,2025-08-20 12:27:32
req008052,2025-08-20 12:14:57
req003296,2025-08-20 10:55:12
req002697,2025-08-20 10:45:23
req009589,2025-08-20 12:39:53
req009497,2025-08-20 12:38:36
req005965,2025-08-20 11:39:47
req002845,2025-08-20 10:47:40
req008707,2025-08-20 12:25:15
req002283,2025-08-20 10:39:01
req002255,2025-08-20 10:37:43
req002458,2025-08-20 10:41:08
req000246,2025-08-20 10:04:53
req007198,2025-08-20 12:00:15
req007786,2025-08-20 12:10:22
req003663,2025-08-20 11:01:12
req003692,2025-08-20 11:01:53
req007891,2025-08-20 12:11:40
req005315,2025-08-20 11:29:29
req002495,2025-08-20 10:42:08
req008677,2025-08-20 12:24:52
req004791,2025-08-20 11:20:44
req001647,2025-08-20 10:28:05
req000231,2025-08-20 10:04:05
req001492,2025-08-20 10:24:59
req008728,2025-08-20 12:25:44
req004726,2025-08-20 11:18:50
req004902,2025-08-20 11:22:37
req005568,2025-08-20 11:33:29
req004973,2025-08-20 11:23:49
req005193,2025-08-20 11:27:05
req004587,2025-08-20 11:16:44
req008526,2025-08-20 12:22:30
req008517,2025-08-20 12:22:41
req005020,2025-08-20 11:24:14
req006967,2025-08-20 11:56:51
req001009,2025-08-20 10:16:59
req006955,2025-08-20 11:56:13
req007107,2025-08-20 11:59:12
req009171,2025-08-20 12:33:03
req008068,2025-08-20 12:15:00
req004142,2025-08-20 11:09:29
req006148,2025-08-20 11:42:46
req006285,2025-08-20 11:45:09
req008080,2025-08-20 12:15:24
req006949,2025-08-20 11:56:16
req007157,2025-08-20 11:59:27
req009840,2025-08-20 12:44:27
req004344,2025-08-20 11:12:50
req007204,2025-08-20 12:00:32
req008798,2025-08-20 12:26:49
req005137,2025-08-20 11:26:14
req008253,2025-08-20 12:18:11
req001093,2025-08-20 10:19:10
req006186,2025-08-20 11:43:31
req001898,2025-08-20 10:32:36
req008875,2025-08-20 12:28:32
req005946,2025-08-20 11:39:37
req005437,2025-08-20 11:30:41
req001433,2025-08-20 10:24:40
req009919,2025-08-20 12:45:59
req005531,2025-08-20 11:32:44
req007124,2025-08-20 11:59:37
req001243,2025-08-20 10:21:11
req000129,2025-08-20 10:03:03
req002343,2025-08-20 10:39:08
req005743,2025-08-20 11:36:14
req008807,2025-08-20 12:27:38
req007214,2025-08-20 12:00:45
req000657,2025-08-20 10:11:23
req001521,2025-08-20 10:26:02
req004169,2025-08-20 11:09:56
req004948,2025-08-20 11:23:06
req001945,2025-08-20 10:32:36
req002143,2025-08-20 10:36:22
req002860,2025-08-20 10:48:01
req001191,2025-08-20 10:20:14
req004564,2025-08-20 11:16:11
req008381,2025-08-20 12:19:52
req005443,2025-08-20 11:31:12
req001164,2025-08-20 10:20:06
req005662,2025-08-20 11:34:45
req002484,2025-08-20 10:41:45
req007271,2025-08-20 12:01:47
req006238,2025-08-20 11:44:19
req000678,2025-08-20 10:11:55
req005896,2025-08-20 11:38:38
req003885,2025-08-20 11:05:30
req004850,2025-08-20 11:21:46
req001830,2025-08-20 10:31:06
req008355,2025-08-20 12:19:39
req008936,2025-08-20 12:29:06
req003018,2025-08-20 10:50:35
req002741,2025-08-20 10:46:17
req004924,2025-08-20 11:22:11
req004950,2025-08-20 11:23:16
req008463,2025-08-20 12:21:08
req007251,2025-08-20 12:01:34
req003107,2025-08-20 10:52:40
req009421,2025-08-20 12:37:35
req002853,2025-08-20 10:48:25
req009912,2025-08-20 12:46:01
req001328,2025-08-20 10:22:41
req007063,2025-08-20 11:58:36
