request_id,click_timestamp,conv_timestamp,conv_value
req006741,2025-08-20 11:52:45,2025-08-20 11:55:34,20
req008728,2025-08-20 12:25:44,2025-08-20 12:35:25,50
req001092,2025-08-20 10:19:09,2025-08-20 10:23:16,50
req002178,2025-08-20 10:36:53,2025-08-20 10:37:32,50
req003577,2025-08-20 11:00:08,2025-08-20 11:10:04,100
req005814,2025-08-20 11:37:19,2025-08-20 11:39:17,20
req009825,2025-08-20 12:44:42,2025-08-20 12:53:47,20
req002059,2025-08-20 10:34:24,2025-08-20 10:42:47,50
req000275,2025-08-20 10:05:24,2025-08-20 10:10:06,100
req002586,2025-08-20 10:43:45,2025-08-20 10:50:37,50
req008936,2025-08-20 12:29:06,2025-08-20 12:29:58,50
req002078,2025-08-20 10:35:27,2025-08-20 10:45:17,50
req008870,2025-08-20 12:28:29,2025-08-20 12:35:00,20
req001561,2025-08-20 10:26:34,2025-08-20 10:33:28,20
req005965,2025-08-20 11:39:47,2025-08-20 11:46:43,20
req003080,2025-08-20 10:51:44,2025-08-20 10:56:13,20
req003417,2025-08-20 10:57:10,2025-08-20 11:02:54,20
req007725,2025-08-20 12:09:14,2025-08-20 12:13:10,100
req005946,2025-08-20 11:39:37,2025-08-20 11:44:01,20
req001984,2025-08-20 10:33:44,2025-08-20 10:38:47,20
req007344,2025-08-20 12:03:12,2025-08-20 12:06:10,20
req008136,2025-08-20 12:16:12,2025-08-20 12:26:09,50
req009893,2025-08-20 12:45:40,2025-08-20 12:50:50,50
req005677,2025-08-20 11:34:58,2025-08-20 11:38:07,50
req002957,2025-08-20 10:50:11,2025-08-20 10:51:50,20
req008055,2025-08-20 12:14:54,2025-08-20 12:21:03,50
req002255,2025-08-20 10:37:43,2025-08-20 10:42:13,50
req003655,2025-08-20 11:01:43,2025-08-20 11:04:55,50
req008441,2025-08-20 12:21:32,2025-08-20 12:23:24,20
req002853,2025-08-20 10:48:25,2025-08-20 10:56:34,20
req001373,2025-08-20 10:23:37,2025-08-20 10:26:47,100
req004664,2025-08-20 11:18:21,2025-08-20 11:22:50,50
req009991,2025-08-20 12:46:50,2025-08-20 12:55:25,100
req009452,2025-08-20 12:37:38,2025-08-20 12:41:30,20
req000835,2025-08-20 10:14:50,2025-08-20 10:22:23,20
req001191,2025-08-20 10:20:14,2025-08-20 10:24:00,20
req002313,2025-08-20 10:38:43,2025-08-20 10:39:54,20
req009497,2025-08-20 12:38:36,2025-08-20 12:42:39,50
req000759,2025-08-20 10:12:53,2025-08-20 10:17:35,50
req004410,2025-08-20 11:14:16,2025-08-20 11:15:02,20
req005856,2025-08-20 11:37:42,2025-08-20 11:40:07,20
req006335,2025-08-20 11:46:31,2025-08-20 11:50:24,20
req009668,2025-08-20 12:41:43,2025-08-20 12:44:43,100
req003171,2025-08-20 10:53:39,2025-08-20 10:58:14,20
req006852,2025-08-20 11:54:46,2025-08-20 11:56:13,20
req008406,2025-08-20 12:20:31,2025-08-20 12:29:27,20
req007383,2025-08-20 12:03:33,2025-08-20 12:08:03,50
req002702,2025-08-20 10:45:17,2025-08-20 10:47:18,100
req008958,2025-08-20 12:30:12,2025-08-20 12:37:19,20
req008549,2025-08-20 12:23:12,2025-08-20 12:30:13,20
req007785,2025-08-20 12:10:36,2025-08-20 12:11:51,20
req008080,2025-08-20 12:15:24,2025-08-20 12:18:28,20
req004489,2025-08-20 11:15:04,2025-08-20 11:16:43,20
req007121,2025-08-20 11:59:38,2025-08-20 12:08:38,20
req006883,2025-08-20 11:55:14,2025-08-20 12:00:25,100
req003802,2025-08-20 11:04:16,2025-08-20 11:11:51,100
req006179,2025-08-20 11:43:56,2025-08-20 11:44:55,100
req005797,2025-08-20 11:37:05,2025-08-20 11:41:56,50
req009743,2025-08-20 12:42:54,2025-08-20 12:48:46,20
req000883,2025-08-20 10:14:59,2025-08-20 10:16:51,20
req004121,2025-08-20 11:09:36,2025-08-20 11:17:52,50
req006093,2025-08-20 11:42:01,2025-08-20 11:46:06,50
req007437,2025-08-20 12:04:49,2025-08-20 12:05:53,50
req003871,2025-08-20 11:05:00,2025-08-20 11:05:34,50
req007251,2025-08-20 12:01:34,2025-08-20 12:02:09,100
req007760,2025-08-20 12:10:15,2025-08-20 12:14:51,50
req009972,2025-08-20 12:46:16,2025-08-20 12:48:18,20
req002415,2025-08-20 10:40:35,2025-08-20 10:46:19,20
req007702,2025-08-20 12:08:29,2025-08-20 12:16:13,20
req003491,2025-08-20 10:58:42,2025-08-20 11:02:21,50
req007236,2025-08-20 12:00:52,2025-08-20 12:10:25,20
req003648,2025-08-20 11:01:37,2025-08-20 11:09:19,20
req004264,2025-08-20 11:11:23,2025-08-20 11:15:38,100
req008366,2025-08-20 12:19:32,2025-08-20 12:23:57,20
req006198,2025-08-20 11:43:27,2025-08-20 11:52:56,20
req002041,2025-08-20 10:34:16,2025-08-20 10:38:04,20
req003165,2025-08-20 10:53:32,2025-08-20 11:01:02,100
req003144,2025-08-20 10:52:50,2025-08-20 11:02:20,100
req009835,2025-08-20 12:44:49,2025-08-20 12:47:45,50
req005020,2025-08-20 11:24:14,2025-08-20 11:26:35,50
req003904,2025-08-20 11:05:59,2025-08-20 11:08:16,100
req003241,2025-08-20 10:54:14,2025-08-20 11:03:34,20
req007113,2025-08-20 11:58:48,2025-08-20 12:06:32,20
req009081,2025-08-20 12:32:05,2025-08-20 12:40:22,20
req008059,2025-08-20 12:14:51,2025-08-20 12:21:33,20
req000098,2025-08-20 10:02:19,2025-08-20 10:07:19,20
req003745,2025-08-20 11:02:59,2025-08-20 11:06:37,100
req005578,2025-08-20 11:33:53,2025-08-20 11:43:47,20
req009094,2025-08-20 12:31:49,2025-08-20 12:40:50,100
req005968,2025-08-20 11:39:41,2025-08-20 11:42:05,50
req008172,2025-08-20 12:16:26,2025-08-20 12:17:02,20
req004981,2025-08-20 11:23:42,2025-08-20 11:31:58,100
req005497,2025-08-20 11:32:18,2025-08-20 11:38:35,50
req009256,2025-08-20 12:35:06,2025-08-20 12:36:51,50
req002713,2025-08-20 10:45:22,2025-08-20 10:46:25,20
req008798,2025-08-20 12:26:49,2025-08-20 12:35:57,50
req001830,2025-08-20 10:31:06,2025-08-20 10:38:53,20
req004567,2025-08-20 11:16:21,2025-08-20 11:24:21,20
req008478,2025-08-20 12:21:49,2025-08-20 12:28:11,20
req001653,2025-08-20 10:28:28,2025-08-20 10:31:17,20
req008261,2025-08-20 12:17:54,2025-08-20 12:23:37,50
req003057,2025-08-20 10:51:17,2025-08-20 10:59:33,50
req000577,2025-08-20 10:10:10,2025-08-20 10:14:08,20
req001377,2025-08-20 10:23:53,2025-08-20 10:25:44,50
