request_id,user_id,adslot_id,timestamp,floor_price,win_price
req000001,u3543,s02,2025-08-20 10:00:00,1.79,0.0
req000002,u5393,s03,2025-08-20 10:00:01,4.89,0.0
req000003,u5652,s02,2025-08-20 10:00:02,3.88,4.58
req000004,u3141,s02,2025-08-20 10:00:03,4.01,0.0
req000005,u4797,s04,2025-08-20 10:00:04,1.75,0.0
req000006,u6326,s01,2025-08-20 10:00:05,0.5,1.26
req000007,u1727,s04,2025-08-20 10:00:06,0.76,0.0
req000008,u7650,s01,2025-08-20 10:00:07,2.99,3.28
req000009,u9950,s02,2025-08-20 10:00:08,1.78,0.0
req000010,u9471,s02,2025-08-20 10:00:09,1.37,3.35
req000011,u6116,s01,2025-08-20 10:00:10,0.72,0.0
req000012,u4527,s04,2025-08-20 10:00:11,4.44,6.11
req000013,u5059,s02,2025-08-20 10:00:12,3.2,4.39
req000014,u4652,s03,2025-08-20 10:00:13,0.98,0.0
req000015,u7379,s02,2025-08-20 10:00:14,3.95,5.52
req000016,u1434,s01,2025-08-20 10:00:15,3.9,5.48
req000017,u7422,s04,2025-08-20 10:00:16,1.8,0.0
req000018,u3375,s04,2025-08-20 10:00:17,1.35,2.7
req000019,u7918,s04,2025-08-20 10:00:18,4.16,4.59
req000020,u4216,s02,2025-08-20 10:00:19,1.98,3.45
req000021,u9893,s02,2025-08-20 10:00:20,4.31,5.49
req000022,u3418,s04,2025-08-20 10:00:21,0.7,0.0
req000023,u4770,s04,2025-08-20 10:00:22,2.75,4.23
req000024,u2796,s03,2025-08-20 10:00:23,1.31,0.0
req000025,u3249,s04,2025-08-20 10:00:24,3.52,4.65
req000026,u5844,s04,2025-08-20 10:00:25,4.99,6.91
req000027,u8704,s04,2025-08-20 10:00:26,2.36,3.65
req000028,u9229,s03,2025-08-20 10:00:27,0.95,0.0
req000029,u8712,s03,2025-08-20 10:00:28,1.93,3.12
req000030,u5564,s04,2025-08-20 10:00:29,4.51,6.21
req000031,u6814,s02,2025-08-20 10:00:30,3.95,4.77
req000032,u5201,s04,2025-08-20 10:00:31,1.54,2.24
req000033,u6896,s04,2025-08-20 10:00:32,4.79,5.85
req000034,u7875,s03,2025-08-20 10:00:33,3.3,0.0
req000035,u1243,s03,2025-08-20 10:00:34,1.26,0.0
req000036,u4147,s04,2025-08-20 10:00:35,3.08,4.29
req000037,u2995,s01,2025-08-20 10:00:36,2.53,0.0
req000038,u9888,s01,2025-08-20 10:00:37,4.19,4.71
req000039,u7740,s04,2025-08-20 10:00:38,2.05,3.45
req000040,u9263,s02,2025-08-20 10:00:39,4.44,6.06
req000041,u7316,s03,2025-08-20 10:00:40,4.15,0.0
req000042,u6907,s01,2025-08-20 10:00:41,3.54,4.74
req000043,u3997,s04,2025-08-20 10:00:42,1.66,2.75
req000044,u8779,s01,2025-08-20 10:00:43,4.87,5.53
req000045,u6088,s04,2025-08-20 10:00:44,2.97,4.8
req000046,u9457,s02,2025-08-20 10:00:45,4.58,6.11
req000047,u2867,s02,2025-08-20 10:00:46,1.47,2.48
req000048,u3893,s04,2025-08-20 10:00:47,4.93,6.28
req000049,u7754,s04,2025-08-20 10:00:48,4.17,0.0
req000050,u5830,s03,2025-08-20 10:00:49,4.77,5.51
req000051,u6278,s04,2025-08-20 10:00:50,1.46,1.67
req000052,u5663,s02,2025-08-20 10:00:51,2.44,2.93
req000053,u9514,s04,2025-08-20 10:00:52,0.94,1.19
req000054,u3129,s04,2025-08-20 10:00:53,1.12,2.19
req000055,u8546,s02,2025-08-20 10:00:54,1.78,3.06
req000056,u9117,s02,2025-08-20 10:00:55,4.78,5.6
req000057,u3046,s04,2025-08-20 10:00:56,3.5,4.61
req000058,u6695,s01,2025-08-20 10:00:57,1.92,2.18
req000059,u2321,s02,2025-08-20 10:00:58,4.8,6.36
req000060,u2993,s04,2025-08-20 10:00:59,3.83,3.99
req000061,u5313,s01,2025-08-20 10:01:00,4.58,5.89
req000062,u2812,s03,2025-08-20 10:01:01,4.67,5.59
req000063,u4724,s02,2025-08-20 10:01:02,3.88,4.33
req000064,u7541,s04,2025-08-20 10:01:03,1.59,2.68
req000065,u5874,s03,2025-08-20 10:01:04,4.98,6.56
req000066,u6082,s01,2025-08-20 10:01:05,1.96,2.85
req000067,u8297,s04,2025-08-20 10:01:06,3.52,4.32
req000068,u8712,s04,2025-08-20 10:01:07,4.3,0.0
req000069,u3634,s02,2025-08-20 10:01:08,1.29,1.66
req000070,u2580,s01,2025-08-20 10:01:09,3.24,4.47
req000071,u2955,s02,2025-08-20 10:01:10,2.19,3.86
req000072,u9886,s02,2025-08-20 10:01:11,1.6,0.0
