user_id,age,gender,segment
u9286,33,F,music_lover, [1,0,0,0,0,0,0,0,0,0]
u8338,47,M,traveler [0,1,0,0,0,0,0,0,0,0]
u7162,34,F,traveler
u9961,42,F,online_shopper
u4874,31,F,sports_fan
u4107,41,F,music_lover
u7165,22,M,online_shopper
u5154,30,M,music_lover
u3882,35,F,sports_fan
u6829,24,F,online_shopper
u2658,45,F,sports_fan
u1539,34,F,music_lover
u3540,28,M,online_shopper
u2848,42,M,sports_fan
u2993,34,M,traveler
u5035,36,M,music_lover
u8131,23,F,online_shopper
u5712,37,M,traveler
u2919,35,F,sports_fan
u5446,38,F,traveler
u1312,27,M,music_lover
u3583,18,M,online_shopper
u1540,18,F,traveler
u3487,32,M,sports_fan
u9727,44,F,traveler
u1255,23,M,online_shopper
u1635,44,F,traveler
u7512,42,M,online_shopper
u7285,43,M,sports_fan
u8525,24,F,online_shopper
u7093,27,M,sports_fan
u1960,21,F,traveler
u9161,31,F,online_shopper
u6138,25,M,music_lover
u7816,18,M,sports_fan
u6896,47,F,traveler
u6090,46,M,traveler
u7996,38,F,sports_fan
u1915,19,F,music_lover
u5521,44,M,sports_fan
u7956,36,F,online_shopper
u2259,27,M,traveler
u8924,21,F,sports_fan
u2846,34,M,online_shopper
u4573,33,M,traveler
u7796,22,M,traveler
u1011,27,M,online_shopper
u7327,39,M,sports_fan
u1667,28,M,sports_fan
u4897,18,F,traveler
u4911,30,M,sports_fan
u7831,37,M,music_lover
u9855,19,M,sports_fan
u5411,18,F,sports_fan
u6613,31,F,traveler
u2171,38,M,traveler
u6743,29,F,online_shopper
u5339,28,F,traveler
u5157,18,M,sports_fan
u5244,31,M,music_lover
u4249,25,F,online_shopper
u2719,35,M,traveler
u6030,22,M,online_shopper
u6420,48,M,sports_fan
u9699,49,M,online_shopper
u3319,48,M,traveler
u6722,20,F,online_shopper
u6072,39,M,sports_fan
u2838,23,F,traveler
u4386,41,F,sports_fan
u3417,44,M,traveler
u4527,38,F,traveler
u4284,22,F,music_lover
u6454,38,M,music_lover
u9370,42,M,traveler
u7347,19,M,sports_fan
u5488,20,F,online_shopper
u1748,48,M,traveler
u3924,21,F,music_lover
u6639,46,F,music_lover
u6291,40,F,sports_fan
u7722,43,F,traveler
u8916,45,M,online_shopper
u5346,18,M,music_lover
u6246,33,M,sports_fan
u1532,36,M,traveler
u1171,43,M,sports_fan
u4347,40,M,traveler
u2884,25,F,online_shopper
u3099,19,F,sports_fan
u5500,44,M,sports_fan
u6443,20,M,sports_fan
u4896,31,M,traveler
u9871,24,F,music_lover
u4603,30,F,traveler
u4314,24,F,online_shopper
u1646,33,M,traveler
u1266,20,M,sports_fan
u7115,43,F,sports_fan
u6278,22,M,online_shopper
u2122,40,M,music_lover
u2694,20,F,online_shopper
u2926,41,M,music_lover
u9622,45,F,sports_fan
u5642,32,F,online_shopper
u8447,37,F,music_lover
u4739,28,M,online_shopper
u4956,47,F,sports_fan
u4079,40,M,traveler
u1878,35,M,traveler
u2482,22,M,music_lover
u2212,39,M,sports_fan
u1581,30,M,online_shopper
u4905,46,F,sports_fan
u8456,18,M,online_shopper
u8808,49,F,online_shopper
u4074,44,M,traveler
u1929,31,M,sports_fan
u8969,26,F,music_lover
u4125,47,M,online_shopper
u5184,26,F,online_shopper
u5287,21,M,music_lover
u6128,38,F,music_lover
u6477,42,F,music_lover
u3027,48,M,sports_fan
u2776,43,F,music_lover
u1896,44,M,online_shopper
u9619,49,F,traveler
u2088,19,F,traveler
u2730,33,M,traveler
u2232,22,F,traveler
u2468,37,M,online_shopper
u7888,35,M,sports_fan
u1044,19,M,sports_fan
u2800,31,M,online_shopper
u5045,32,F,traveler
u5815,42,F,online_shopper
u9598,27,F,traveler
u3686,45,F,traveler
u9433,33,M,online_shopper
u5962,25,F,sports_fan
u8943,43,F,online_shopper
u1191,43,F,online_shopper
u9496,41,M,traveler
u2296,41,F,sports_fan
u1716,38,F,online_shopper
u6493,31,F,online_shopper
u8989,37,M,music_lover
u7318,27,F,online_shopper
u5239,30,F,music_lover
u4395,36,F,traveler
u2509,19,M,sports_fan
u1120,43,M,sports_fan
u5349,22,M,music_lover
u7091,31,M,online_shopper
u3787,41,M,traveler
u7567,38,M,music_lover
u1409,40,M,sports_fan
u2395,38,F,traveler
u2052,49,M,traveler
u1338,43,F,online_shopper
u5049,42,M,traveler
u6069,41,M,online_shopper
u2492,25,F,sports_fan
u8791,49,M,music_lover
u4831,18,M,music_lover
u2161,22,M,sports_fan
u5517,42,M,online_shopper
u2499,28,F,traveler
u4941,25,M,traveler
u3103,34,M,sports_fan
u3494,42,F,online_shopper
u1856,27,F,music_lover
u9156,31,M,music_lover
u9232,18,M,music_lover
u5283,22,M,music_lover
u6283,32,F,sports_fan
u8065,27,F,music_lover
u1454,32,F,sports_fan
u9479,18,F,sports_fan
u6338,48,M,traveler
u9427,41,F,sports_fan
u7921,28,F,traveler
u9356,35,M,online_shopper
u6064,23,M,music_lover
u5847,19,M,online_shopper
u7973,19,F,online_shopper
u5946,34,M,traveler
u8901,39,M,traveler
u7674,22,F,traveler
u1159,37,F,sports_fan
